Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,,Dataset 9,,Dataset 10,,Dataset 11,,Dataset 12,,Dataset 13,,Dataset 14,,Dataset 15,,Dataset 16,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3.659854372,17.88043856,3.677884517,16.85211927,3.677884517,15.65241342,3.695914663,14.5709052,3.668869445,13.35346972,3.659854372,12.28969114,3.695914663,11.23182244,3.695914663,10.04984624,3.750005099,8.968338013,3.722959881,7.904559433,3.695914663,6.805321567,3.623794081,5.676534296,2.983723918,4.760502741,2.875543046,3.744003209,2.815442561,2.822061773,2.776377246,1.663725097,2.82145261,0.564487231
3.695914663,17.89225832,3.716949832,16.88757855,3.713944808,15.65241342,3.731974954,14.59454473,3.713944808,13.37710924,3.695914663,12.31924054,3.731974954,11.24955208,3.731974954,10.04984624,3.78606539,8.986067656,3.731974954,7.857280385,3.68689959,6.769862281,3.659854372,5.670624415,3.001754064,4.855060837,2.902588264,3.684904399,2.812437537,2.762962963,2.776377246,1.616446049,2.857512901,0.599946517
3.731974954,17.88634844,3.750005099,16.97031689,3.750005099,15.66423319,3.771040269,14.64182377,3.750005099,13.40074876,3.734979978,12.32909034,3.768035244,11.29092125,3.768035244,10.0912154,3.777050317,8.956518251,3.750005099,7.815911218,3.731974954,6.817141329,3.68689959,5.729723225,3.031804306,4.788082186,2.893573191,3.661264875,2.812437537,2.715683915,2.776377246,1.569167001,2.857512901,0.552667469
3.759020172,17.92771761,3.740990026,16.9348576,3.771040269,15.70954227,3.768035244,14.59454473,3.771040269,13.46378749,3.768035244,12.40788876,3.78606539,11.32047065,3.789070414,10.15031421,3.822125681,9.003797299,3.768035244,7.869100147,3.731974954,6.775772162,3.695914663,5.682444177,3.019784209,4.748682979,2.92061841,3.625805589,2.812437537,2.680224629,2.776377246,1.527797834,2.857512901,0.505388421
3.78606539,17.98681642,3.78606539,17.06487498,3.78606539,15.77652093,3.78606539,14.70092258,3.795080463,13.50712662,3.759020172,12.36060971,3.795080463,11.2731916,3.804095535,10.20941302,3.840155826,9.045166466,3.795080463,7.904559433,3.722959881,6.734402995,3.731974954,5.711993582,3.064859573,4.772322503,2.92061841,3.584436422,2.830467682,2.881160583,2.794407392,1.852841289,2.884558119,0.446289611
3.777050317,17.9631769,3.777050317,17.00577617,3.80710056,15.82379997,3.795080463,14.64182377,3.822125681,13.55440567,3.804095535,12.50244685,3.822125681,11.36183982,3.813110608,10.15031421,3.858185972,9.092445514,3.822125681,7.9459286,3.753010123,6.864420377,3.768035244,5.741542987,3.064859573,4.736863217,2.929633482,3.673084637,2.839482755,2.822061773,2.794407392,1.805562241,2.902588264,0.399010563
3.813110608,17.99863618,3.777050317,16.97031689,3.822125681,15.7528814,3.795080463,14.59454473,3.84316085,13.60168472,3.795080463,12.46698757,3.840155826,11.45048803,3.840155826,10.24487231,3.876216117,9.145634443,3.840155826,7.999117529,3.759020172,6.805321567,3.804095535,5.800641797,3.103924888,4.788082186,2.938648555,3.531247493,2.839482755,2.774782725,2.803422464,1.758283193,2.911603337,0.529027945
3.84316085,18.0971342,3.813110608,17.14761332,3.813110608,15.71742212,3.795080463,14.55908544,3.858185972,13.66078353,3.795080463,12.43152828,3.831140753,11.40320899,3.840155826,10.20941302,3.915281432,9.232312698,3.858185972,8.052306458,3.78606539,6.982617997,3.804095535,5.75927263,3.091904791,4.736863217,2.9566787,3.566706779,2.839482755,2.727503677,2.803422464,1.711004145,2.911603337,0.481748897
3.831140753,18.04591523,3.813110608,17.10033427,3.840155826,15.85334938,3.822125681,14.72456211,3.858185972,13.55440567,3.840155826,12.5497259,3.858185972,11.50367696,3.858185972,10.29806124,3.903261335,9.181093729,3.879221141,8.140954673,3.78606539,6.935338949,3.84316085,5.871560369,3.136980155,4.772322503,2.947663628,3.483968445,2.839482755,2.680224629,2.803422464,1.663725097,2.911603337,0.434469849
3.876216117,18.15229309,3.813110608,17.05305522,3.831140753,15.80016045,3.840155826,14.83093997,3.867201044,13.60168472,3.831140753,12.49062709,3.867201044,11.54504613,3.876216117,10.39261933,3.930306553,9.334750635,3.867201044,8.093675625,3.78606539,6.888059901,3.831140753,5.824281321,3.127965082,4.748682979,2.992738991,3.531247493,2.848497828,2.621125819,2.812437537,1.604626287,2.929633482,0.387190801
3.894246262,18.30594999,3.84316085,17.29339038,3.858185972,15.90653831,3.840155826,14.7895708,3.894246262,13.87353924,3.876216117,12.68565316,3.894246262,11.66915363,3.867201044,10.33943041,3.930306553,9.287471587,3.894246262,8.211873245,3.795080463,6.852600615,3.876216117,6.084316085,3.173040445,4.760502741,3.013774161,3.491848286,2.866527973,2.573846771,2.812437537,1.557347239,2.938648555,0.339911753
