Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,,Dataset 9,,Dataset 10,,Dataset 11,,Dataset 12,,Dataset 13,,Dataset 14,,Dataset 15,,Dataset 16,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.329240254,17.12801889,2.383924613,16.0389857,2.347468374,14.9953289,2.365696494,13.92898391,2.347468374,12.83995072,2.347468374,11.81898211,2.365696494,10.75263712,2.383924613,9.686292123,2.347468374,8.688011703,2.365696494,7.712419475,2.347468374,6.691450864,2.365696494,5.488976722,2.347468374,4.263814388,2.402152733,3.123732772,2.347468374,2.029027539,2.347468374,1.047763263,2.329240254,0.009778508
2.365696494,17.12801889,2.420380852,16.0389857,2.383924613,14.9953289,2.402152733,13.92898391,2.383924613,12.83995072,2.383924613,11.81898211,2.402152733,10.75263712,2.420380852,9.686292123,2.383924613,8.688011703,2.402152733,7.712419475,2.383924613,6.702794959,2.402152733,5.488976722,2.383924613,4.263814388,2.438608972,3.12940482,2.356582434,2.074403922,2.356582434,1.098811693,2.365696494,0.009778508
2.402152733,17.12801889,2.456837091,16.0389857,2.420380852,14.9953289,2.438608972,13.92898391,2.420380852,12.83995072,2.420380852,11.81898211,2.438608972,10.75263712,2.49329333,9.686292123,2.420380852,8.688011703,2.438608972,7.712419475,2.420380852,6.697122911,2.438608972,5.505992865,2.420380852,4.269486436,2.459875111,3.163437107,2.383924613,2.040371635,2.383924613,1.05343531,2.405190753,0.013559873
2.438608972,17.12801889,2.49329333,16.0389857,2.456837091,14.9953289,2.475065211,13.92898391,2.456837091,12.83995072,2.456837091,11.81898211,2.475065211,10.75263712,2.52974957,9.686292123,2.456837091,8.688011703,2.475065211,7.718091523,2.456837091,6.714139055,2.475065211,5.500320817,2.459875111,4.30162804,2.49329333,3.242845777,2.411266792,2.097092113,2.374810553,1.019403023,2.438608972,0.066498986
2.475065211,17.12801889,2.52974957,16.0389857,2.49329333,14.9953289,2.51152145,13.92898391,2.49329333,12.83995072,2.49329333,11.81898211,2.51152145,10.75263712,2.566205809,9.686292123,2.49329333,8.693683751,2.51152145,7.712419475,2.49329333,6.714139055,2.51152145,5.5456972,2.49329333,4.377255345,2.49329333,3.197469394,2.420380852,2.05171573,2.393038673,1.098811693,2.429494912,0.032466699
2.51152145,17.12801889,2.566205809,16.0389857,2.52974957,14.9953289,2.547977689,13.92898391,2.52974957,12.83995072,2.52974957,11.81898211,2.547977689,10.75263712,2.602662048,9.686292123,2.52974957,8.693683751,2.547977689,7.712419475,2.52974957,6.719811103,2.50240739,5.511664913,2.484179271,4.331878962,2.484179271,3.174781203,2.420380852,2.017683443,2.420380852,1.064779406,2.465951151,0.077843082
2.547977689,17.12801889,2.602662048,16.0389857,2.566205809,14.9953289,2.584433928,13.92898391,2.566205809,12.83995072,2.566205809,11.81898211,2.584433928,10.75263712,2.630004227,9.686292123,2.566205809,8.693683751,2.584433928,7.723763571,2.566205809,6.75384339,2.547977689,5.568385391,2.532787589,4.456664015,2.52974957,3.276878064,2.456837091,2.114108257,2.456837091,1.121499885,2.49329333,0.111875369
2.584433928,17.12801889,2.639118287,16.0389857,2.602662048,14.9953289,2.620890167,13.92898391,2.602662048,12.83995072,2.602662048,11.81898211,2.620890167,10.75263712,2.675574526,9.686292123,2.602662048,8.693683751,2.620890167,7.729435618,2.593547988,6.770859533,2.538863629,5.534353104,2.52063551,4.411287632,2.52063551,3.242845777,2.447723032,2.074403922,2.475065211,1.166876267,2.51455947,0.145907656
2.620890167,17.12801889,2.675574526,16.0389857,2.639118287,14.9953289,2.657346406,13.92898391,2.639118287,12.83995072,2.639118287,11.81898211,2.657346406,10.75263712,2.712030765,9.708980315,2.639118287,8.693683751,2.657346406,7.740779714,2.611776108,6.80489182,2.584433928,5.59674563,2.547977689,4.524728589,2.566205809,3.350614686,2.447723032,2.040371635,2.465951151,1.076123502,2.551015709,0.282036804
2.657346406,17.12801889,2.712030765,16.0389857,2.675574526,14.9953289,2.693802646,13.92898391,2.675574526,12.83995072,2.675574526,11.81898211,2.693802646,10.75263712,2.766715124,9.697636219,2.675574526,8.710699895,2.693802646,7.774812001,2.639118287,6.827580012,2.593547988,5.772579114,2.566205809,4.615481354,2.557091749,3.299566255,2.49329333,2.165156687,2.465951151,1.042091215,2.547977689,0.225316326
