Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,,Dataset 9,,Dataset 10,,Dataset 11,,Dataset 12,,Dataset 13,,Dataset 14,,Dataset 15,,Dataset 16,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.509534403,18.12489527,2.509534403,17.03702346,2.509534403,15.92600545,2.509534403,14.83813364,2.509534403,13.73868873,2.491975211,12.66239003,2.509534403,11.61502409,2.474416018,10.54451194,2.509534403,9.306189778,2.491975211,8.056294512,2.491975211,6.968422706,2.465636421,5.822685379,2.430518036,4.480205279,2.456856825,3.346041056,2.424664972,2.192588326,2.42173844,1.15872434,2.448077229,0.151864265
2.544652789,18.12489527,2.544652789,17.03702346,2.544652789,15.92600545,2.544652789,14.84392019,2.544652789,13.74447528,2.527093596,12.66817658,2.544652789,11.60345098,2.509534403,10.54451194,2.530020128,9.340909091,2.483195614,8.010002095,2.509534403,7.014715124,2.474416018,5.782179514,2.47734255,4.530355397,2.474416018,3.392333473,2.456856825,2.17715752,2.42173844,1.112431923,2.448077229,0.070852535
2.579771174,18.12489527,2.579771174,17.03702346,2.579771174,15.92600545,2.579771174,14.84392019,2.579771174,13.74447528,2.562211982,12.67974969,2.579771174,11.61502409,2.518314,10.59080436,2.562211982,9.39298806,2.530020128,8.118017735,2.527093596,6.962636154,2.465636421,5.741673649,2.465636421,4.480205279,2.491975211,3.484918307,2.47734255,2.235023041,2.430518036,1.054566401,2.474416018,0.105571848
2.61488956,18.12489527,2.61488956,17.03702346,2.61488956,15.92600545,2.61488956,14.84392019,2.61488956,13.74447528,2.597330367,12.67396313,2.588550771,11.65552995,2.544652789,10.55608504,2.553432385,9.340909091,2.518314,8.067867616,2.544652789,7.055220989,2.509534403,5.828471931,2.509534403,4.584363217,2.491975211,3.43862589,2.483195614,2.17715752,2.430518036,1.019847088,2.509534403,0.1113584
2.650007945,18.12489527,2.650007945,17.03702346,2.650007945,15.92600545,2.650007945,14.84970674,2.650007945,13.75604839,2.632448753,12.69132279,2.61488956,11.61502409,2.535873192,10.50979263,2.600256899,9.41806312,2.562211982,8.143092794,2.535873192,7.003142019,2.500754807,5.787966066,2.518314,4.642228739,2.509534403,3.577503142,2.509534403,2.362327189,2.456856825,1.147151236,2.527093596,0.232875995
2.685126331,18.12489527,2.685126331,17.03702346,2.685126331,15.9433651,2.685126331,14.8554933,2.685126331,13.76183494,2.667567138,12.69132279,2.632448753,11.65552995,2.582697706,10.59466206,2.632448753,9.502932551,2.553432385,8.091013825,2.562211982,7.142019271,2.527093596,5.926843318,2.544652789,4.763746334,2.509534403,3.531210725,2.500754807,2.304461667,2.456856825,1.106645371,2.527093596,0.186583578
2.720244716,18.12489527,2.720244716,17.03702346,2.720244716,15.92600545,2.720244716,14.84970674,2.720244716,13.75026183,2.702685524,12.714469,2.641228349,11.60923754,2.61488956,10.62552367,2.632448753,9.456640134,2.553432385,8.056294512,2.562211982,7.095726854,2.518314,5.868977796,2.535873192,4.711667365,2.527093596,3.618009007,2.500754807,2.25816925,2.47734255,1.193443653,2.527093596,0.14029116
2.755363102,18.12489527,2.755363102,17.03702346,2.755363102,15.92600545,2.755363102,14.84970674,2.758289634,13.74640413,2.737803909,12.73761521,2.667567138,11.69024927,2.635375285,10.68338919,2.650007945,9.433493925,2.579771174,8.229891077,2.579771174,7.188311688,2.544652789,6.031001257,2.535873192,4.676948052,2.518314,3.484918307,2.500754807,2.223449937,2.491975211,1.124005027,2.562211982,0.232875995
2.790481487,18.12489527,2.790481487,17.03702346,2.790481487,15.92600545,2.790481487,14.83813364,2.790481487,13.76762149,2.772922295,12.73182866,2.693905927,11.74811479,2.652934477,10.61395057,2.667567138,9.537651864,2.570991578,8.183598659,2.570991578,7.049434437,2.535873192,5.98470884,2.562211982,4.815825304,2.562211982,3.774245915,2.547579321,2.400904203,2.491975211,1.07771261,2.562211982,0.19237013
2.825599873,18.13068182,2.825599873,17.03702346,2.825599873,15.95493821,2.825599873,14.8554933,2.825599873,13.79655425,2.810967212,12.76654797,2.702685524,11.70760892,2.650007945,10.55608504,2.658787542,9.479786343,2.597330367,8.26461039,2.570991578,7.014715124,2.565138514,6.169878509,2.579771174,4.96627566,2.553432385,3.716380394,2.535873192,2.362327189,2.509534403,1.170297444,2.553432385,0.163437369
